rank,family_office,principal,aum_networth,aum_confidence,aum_source,hq,category,atlas_member,companies_backed,mapped_raise_usd_m,activity_90d,confidence,source_url,note
24,SK / Chey family (SK Inc),Chey Tae-won,~$100B+ group,Estimate,SK Group public financials,Seoul,Family Office,N,Plug Power ($1600M); Monolith Materials,1600,2,Confirmed,https://eng.sk.com/news/sk-group-closes-1-6-billion-investment-in-plug-power-to-advance-hydrogen-strategy,"Chey family-controlled; SK Inc led Plug Power ($1.6B, ~10%) + Monolith green hydrogen."
25,Prima Materia (Daniel Ek),Daniel Ek,$5B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Stockholm,Family Office,N,H2 Green Steel ($1500M); Pale Blue Dot (climate VC),1500,2,Reported,https://sifted.eu/articles/helsing-fundraise-600m-daniel-ek,Deep tech + defense/energy
26,Prelude Ventures,Nat Simons & Laura Baxter-Simons,$1B+ AUM,Estimate,approximate; not individually sourced,San Francisco,Family Office,N,Twelve ($645M); Form Energy ($450M),1095,2,Reported,https://www.peony.ink/blog/top-15-climate-tech-investors-2025,Dedicated climate fund
27,Capricorn Investment (Jeff Skoll),Jeff Skoll,$7B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Palo Alto,Family Office,Y,Twelve ($645M); Harbinger Motors ($363M),1008,2,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Twelve / Harbinger
28,Patrick & John Collison,Collison brothers,$10B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),San Francisco,Family Office,N,Frontier CDR fund ($1000M),1000,1,Confirmed,https://frontierclimate.com/,Stripe Climate / CDR purchases
29,Duquesne Family Office,Stanley Druckenmiller,$11B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),New York,Family Office,N,Commonwealth Fusion ($863M),863,1,Confirmed,https://www.cnbc.com/2025/09/04/family-office-deals-peter-thiel-stark-jeff-bezos-billionaire.html,Joined CFS fusion raise
30,Soros Capital,George Soros / Robert Soros,$25B+ family,Estimate,approximate; not individually sourced,New York,Family Office,N,Commonwealth Fusion ($863M); Zap Energy,863,2,Reported,https://www.canarymedia.com/articles/nuclear/commonwealth-fusion-pulls-in-colossal-1-8b-for-novel-nuclear-tech,Soros entities are documented fusion backers (CFS / Zap Energy); exact vehicle/amount approximate.
31,Tao Capital Partners,Nicholas & Joby Pritzker,$5B+ family,Estimate,approximate; not individually sourced,San Francisco,Family Office,N,Joby Aviation ($800M); Proterra ($60M),860,2,Confirmed,https://www.taocap.com/,Early Tesla/Joby; climate & mobility
32,CMA CGM / Saade (Pulse Fund),Rodolphe Saade,~$18B family,Unverifiable,not publicly disclosed (private single-family office),Marseille,Family Office,Y,Twelve ($645M),645,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Active relationship. Meeting the family
33,Dolby Family Ventures,Ray Dolby family,$5B+ family,Estimate,approximate; not individually sourced,San Francisco,Family Office,Y,Twelve ($645M),645,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Nicholas Flanders (Twelve)
34,Jameel Family (JIMCO),Mohammed & Fady Jameel,$8B+ family,Estimate,approximate; not individually sourced,Saudi Arabia / Dubai,Family Office,Y,General Fusion ($515M),515,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via General Fusion
35,Thistledown (Tobias Lutke),Tobias Lutke,$10B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Ottawa,Family Office,Y,General Fusion ($515M),515,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via General Fusion
36,Kam Ghaffarian / IBX,Kam Ghaffarian,$2B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Houston,Family Office,Y,General Fusion ($515M),515,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via General Fusion
37,Leitmotif (VW / Porsche-Piech),Porsche-Piech dynasty,$40B+ family,Estimate,approximate; not individually sourced,Germany,Family Office,Y,Harbinger Motors ($363M),363,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),DIRECT. Jens Wiese (Leitmotif MP) in the room
38,Tiger Global (Chase Coleman),Chase Coleman III,$10B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),New York,Family Office,Y,Harbinger Motors ($363M),363,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Ben DuSastre (Harbinger)
39,Agnelli Family / Lingotto,John Elkann,$40B+ Exor NAV,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Turin / Amsterdam,Family Office,Y,Tokamak Energy ($335M),335,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Michael Ginsberg (Tokamak)
40,Hans-Peter Wild,Hans-Peter Wild,$10B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Heidelberg / Switzerland,Family Office,Y,Tokamak Energy ($335M),335,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Michael Ginsberg (Tokamak)
41,Sabanci Family,Sabanci family,$10B+ conglomerate,Estimate,approximate; not individually sourced,Istanbul,Family Office,Y,Tokamak Energy ($335M),335,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Michael Ginsberg (Tokamak)
42,BW Group / Sohmen-Pao,Andreas Sohmen-Pao,$5B+ family,Estimate,approximate; not individually sourced,Singapore / Norway,Family Office,Y,Tokamak Energy ($335M),335,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Michael Ginsberg (Tokamak)
43,Inditex / Amancio Ortega (Pontegadea),Amancio Ortega,$100B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),A Coruna,Family Office,N,renewables infra ($250M),250,1,Inferred,#,Renewables infrastructure allocations
44,Bernard Arnault (Aglae Ventures),Bernard Arnault,$180B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Paris,Family Office,N,Northvolt-style / climate ($200M),200,1,Inferred,#,Frontier tech + climate via Aglae
45,PremjiInvest,Azim Premji,$11B+ endowment,Estimate,approximate; not individually sourced,Bangalore,Family Office,N,clean energy portfolio ($100M),100,1,Inferred,#,Climate + energy transition in India
46,Xavier Niel (Kima / NJJ),Xavier Niel,$10B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Paris,Family Office,N,European deep tech ($100M),100,1,Inferred,#,Deep tech + energy infrastructure
47,BMW i Ventures / Quandt,Stefan Quandt / Susanne Klatten,$50B+ family,Estimate,approximate; not individually sourced,Munich,Family Office,Y,Tandem PV ($83M),83,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Scott Wharton (Tandem PV)
48,Dalio Family Office / OceanX,Ray Dalio,$15B+ family,Estimate,approximate; not individually sourced,"Westport, CT",Family Office,N,ocean tech portfolio ($80M),80,1,Inferred,#,Ocean science + climate ventures
49,Hunt Family (Hunt Energy),Ray Lee Hunt family,$15B+ family,Estimate,approximate; not individually sourced,Dallas,Family Office,Y,CubicPV ($75M),75,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via CubicPV (NYC 2025)
50,B Capital / Eduardo Saverin,Eduardo Saverin,$25B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Singapore,Family Office,Y,GrayMatter Robotics ($70M),70,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),On carousel + Inner Circle. GrayMatter at SF 2026
51,Euclidean Capital (Simons Estate),Jim Simons estate,$30B+ estate,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),New York,Family Office,Y,GrayMatter Robotics ($70M),70,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via GrayMatter (SF 2026)
52,The Impact Office,Geneva principal family,$1B+ AUM,Unverifiable,not publicly disclosed (private single-family office),Geneva,Family Office,N,emerging climate managers ($70M),70,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Catalytic LP across climate funds
53,Paradigm (Fred Ehrsam),Fred Ehrsam,$2B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),San Francisco,Family Office,Y,Swift Solar ($60M),60,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Sebastian Neelamkavil (Swift Solar)
54,Sid Sijbrandij,Sid Sijbrandij,$400M+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),San Francisco,Family Office,Y,Swift Solar ($60M),60,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Swift Solar at SF 2026
55,Salvia GmbH,Helmut Jeggle,$1B+ family,Unverifiable,not publicly disclosed (private single-family office),Munich,Family Office,N,European climate cos ($50M),50,1,Reported,https://www.impactloop.com/artikel/family-offices-meet-40-european-dynasties-open-to-new-impact-investments,Climate & resource-scarcity sparring partner
56,Aurum Impact (Goldbeck),Goldbeck family,$500M+ family,Unverifiable,not publicly disclosed (private single-family office),Bielefeld,Family Office,N,industrial decarb portfolio ($40M),40,1,Reported,https://www.impactloop.com/artikel/family-offices-meet-40-european-dynasties-open-to-new-impact-investments,Industrial decarbonization + circular
57,Raintree Family Office,Indian principal family,$500M+ family,Unverifiable,not publicly disclosed (private single-family office),Mumbai,Family Office,N,Theia Ventures ($40M),40,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Models climate investing for Indian dynasties
58,Sagitta Ventures (Clausen / Danfoss),Clausen family,$500M+ family,Unverifiable,not publicly disclosed (private single-family office),"Nordborg, DK",Family Office,N,cleantech portfolio ($35M),35,1,Reported,https://www.impactloop.com/artikel/family-offices-meet-40-european-dynasties-open-to-new-impact-investments,Cleantech + advanced mobility
59,Creadev (Mulliez family),Mulliez family,~€250M/yr deployment,Estimate,Creadev disclosed annual deployment,Lille,Family Office,N,Victory Farms ($35M),35,1,Confirmed,https://www.africaglobalfunds.com/news/private-equity/deals/creadev-leads-35m-series-b-in-victory-farms/,Mulliez family (Decathlon/Auchan) SFO; health-food-climate; led Victory Farms Series B.
60,TIME Ventures (Marc Benioff),Marc Benioff,$7B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),San Francisco,Family Office,Y,Terraformation ($30M),30,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Suzanne DiBianca (Salesforce CIO) connection
61,Kimbal Musk,Kimbal Musk,$500M+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Austin,Family Office,Y,Terraformation ($30M),30,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Terraformation (NYC 2025)
62,Jaws Estates Capital,Barry Sternlicht,$4B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Miami,Family Office,N,Cervest / climate ($30M),30,1,Reported,https://www.cnbc.com/2026/02/12/inside-wealth-family-office-15.html,On CNBC Family Office 15
63,RS Group,Annie Chen,$500M+ family,Unverifiable,not publicly disclosed (private single-family office),Hong Kong,Family Office,N,SJF Ventures III ($30M),30,1,Reported,https://impactalpha.com/13-family-offices-investing-in-impact-funds/,Clean energy + circular economy
64,Helena (Henry Elkus),Henry Elkus,$200M+ AUM,Unverifiable,not publicly disclosed (private single-family office),Los Angeles,Family Office,N,Project Vesta / CDR ($30M),30,1,Inferred,#,Carbon removal + frontier
65,Meraki Impact,Russo family,$300M+ family,Unverifiable,not publicly disclosed (private single-family office),Sao Paulo,Family Office,N,Deetken Caribbean Energy Fund ($25M),25,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Regenerative systems in Brazil
66,Stratel,Norwegian founding family,$300M+ family,Unverifiable,not publicly disclosed (private single-family office),Oslo,Family Office,N,carbon removal portfolio ($20M),20,1,Reported,https://www.impactloop.com/artikel/family-offices-meet-40-european-dynasties-open-to-new-impact-investments,Pre-seed carbon removal + climate
67,CO_Capital,Sanchez-Navarro family,$300M+ family,Unverifiable,not publicly disclosed (private single-family office),Mexico City,Family Office,N,LatAm climate portfolio ($20M),20,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Poverty + climate solutions
68,Napali Capital,Chilean principal family,$200M+ family,Unverifiable,not publicly disclosed (private single-family office),Santiago,Family Office,N,Chilean climate cos ($15M),15,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Mobilizes Chile's impact ecosystem
69,Grantham Foundation,Jeremy Grantham,~$1.5B foundation,Estimate,foundation endowment estimate,Boston,Family Office,N,Summit Nanotech; Hazel Technologies; Ucaneo,0,3,Confirmed,https://www.granthamfoundation.org/investing/,Neglected Climate Opportunities LLC — deep climate VC; 82% climate/energy portfolio.
70,Aker (Røkke family),Kjell Inge Røkke,family-controlled (TRG 68%),Estimate,Aker ASA family ownership; AUM not disclosed,Oslo,Family Office,N,Aker Carbon Capture; Aker Offshore Wind; Aker Clean Hydrogen,0,3,Confirmed,https://www.akerasa.com/en/investments/aker-horizons,"Aker Horizons platform: carbon capture, offshore wind, clean hydrogen."
71,COFRA / Anthos (Brenninkmeijer),Brenninkmeijer family,~€35B family,Estimate,reported family net worth; FO AUM not disclosed,Zug,Family Office,N,clean-energy portfolio; responsAbility Asia Climate,0,2,Reported,https://www.anthosam.com/about-us,Anthos Fund — clean energy + sustainable food; responsAbility Asia Climate Strategy.
72,Ferd (Andresen family),Johan H. Andresen,~$4.5B (NOK 50.4B),Reported,https://ferd.no/en/about-ferd/who-we-are/,Oslo,Family Office,N,Ferd Impact climate-tech portfolio,0,1,Confirmed,https://ferd.no/en/impact-investing-2/what-we-do/,"Ferd Impact Investing — early-stage climate tech (renewables, decarbonization)."
73,Mistletoe (Taizo Son),Taizo Son,private,Unverifiable,not publicly disclosed (private single-family office),Singapore,Family Office,N,Astroscale (frontier); Zipline (frontier),0,2,Confirmed,https://read-a.com/serial-entrepreneur-taizo-son-is-investing-in-the-future-of-our-planet/,Deep-tech / clean energy / agrifood; frontier bets.
74,Athos / Strüngmann,Andreas & Thomas Strüngmann,~€10B+ (BioNTech stake),Estimate,"BioNTech holding value, public filings",Munich,Family Office,N,BioNTech (frontier); Antheia,0,2,Confirmed,https://familyofficehub.io/blog/strungmann-single-family-office-invests-in-german-company-biontech/,"Single-family office; no fund life — deep-tech in biotech, hard-tech, climate."
75,dievini / Dietmar Hopp,Dietmar Hopp,~$10B+ personal,Estimate,reported net worth,Walldorf,Family Office,N,CureVac (frontier biotech),0,1,Confirmed,https://www.curevac.com/en/history/investment-by-dievini-hopp-biotech-von-dietmar-hopp/,SAP co-founder's biotech holding; ~41% of CureVac (mRNA); €1.4B+ across 15 biotechs.
76,Blue Haven Initiative,Liesel Pritzker Simmons & Ian Simmons,impact SFO,Estimate,ImpactAlpha; AUM not fully disclosed,Boston,Family Office,N,climate / clean-energy portfolio,0,1,Confirmed,https://impactalpha.com/blue-havens-liesel-pritzker-simmons-on-family-office-impact-investing-in-perilous-times-qa/,One of the first impact-mission family offices; $163M+ deployed in climate/clean energy.
77,Sea Change Foundation (Nat Simons),Nat Simons & Laura Baxter-Simons,"~$250M, ~$50M/yr",Reported,https://www.seachange.org/,San Francisco,Family Office,N,Energy Foundation (climate),0,1,Confirmed,https://www.seachange.org/,Family foundation; $500M+ in climate-change & clean-energy grants to date.
78,Wallenberg / Investor AB,Wallenberg family,~$100B+ (Investor AB NAV),Reported,https://www.investorab.com/about-investor,Stockholm,Family Office,N,EQT climate (Overview Energy),0,1,Reported,https://eqtgroup.com/news/eqt-foundation-backs-space-solar-energy-company-overview-energy,"Swedish dynasty; founded & sponsors EQT (climate: Overview Energy space-solar, Elemental Impact)."
79,Ceniarth (Diane Isenberg),Diane Isenberg,~$650M portfolio,Reported,https://ceniarthllc.com/about-us/history/,London / US,Family Office,N,SunFunder Gigaton Fund,0,1,Reported,https://impactalpha.com/how-ceniarth-is-seeking-higher-impact-on-rural-livelihoods-while-preserving-its-own-capital/,Impact-first single family office; climate via SunFunder Gigaton Fund + renewable energy.
80,Rohini Nilekani Philanthropies,Rohini Nilekani,~$300Cr+/yr giving,Unverifiable,not fully disclosed,Bangalore,Family Office,N,India Climate Collaborative,0,1,Reported,https://rohininilekaniphilanthropies.org/grantees/india-climate-collaborative/,"India; climate & environment a core focus area (India Climate Collaborative, agroecology)."
81,Adani Green / Adani Family,Gautam Adani,$50B+ conglomerate,Estimate,public market cap / financials — verify against exchange filing,Ahmedabad,Corporate Strategic,N,green hydrogen portfolio ($500M),500,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Solar + green hydrogen at scale
82,Tata Trusts / Tata Sons,Tata family trusts,$100B+ group,Estimate,public market cap / financials — verify against exchange filing,Mumbai,Corporate Strategic,N,Tata Passenger EV ($500M),500,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,"EV, solar, hydrogen across group"
83,Mahindra Group,Anand Mahindra,$20B+ group,Estimate,public market cap / financials — verify against exchange filing,Mumbai,Corporate Strategic,N,Mahindra EV ($400M),400,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,EV + renewables platform
84,Reliance-adjacent JSW (Jindal),Sajjan Jindal,$10B+ family,Estimate,public market cap / financials — verify against exchange filing,Mumbai,Corporate Strategic,N,JSW green steel ($300M),300,1,Inferred,#,Green steel + EV + storage
85,Reliance New Energy,Mukesh Ambani,$100B+ conglomerate,Estimate,public market cap / financials — verify against exchange filing,Mumbai,Corporate Strategic,N,Faradion (Na-ion) ($100M); NexWafe ($30M); Ambri ($144M),274,3,Confirmed,https://www.businesstoday.in/latest/corporate/story/mukesh-ambani-led-reliance-new-energy-takes-over-remaining-stake-in-faradion-452009-2024-10-29,$10B clean-energy push; solar & storage
86,Mitsui & Co,Mitsui heritage,$50B+ revenue,Estimate,public market cap / financials — verify against exchange filing,Tokyo,Corporate Strategic,Y,Heirloom Carbon ($205M),205,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Heirloom CEO at SF 2026
87,Mitsubishi Corporation,Mitsubishi keiretsu,$40B+ revenue,Estimate,public market cap / financials — verify against exchange filing,Tokyo,Corporate Strategic,Y,Heirloom Carbon ($205M),205,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),On Inner Circle FO list
88,Aramco Ventures / Wa'ed,Saudi Aramco,$10B+ fund,Estimate,public market cap / financials — verify against exchange filing,Dhahran,Corporate Strategic,N,carbon tech portfolio ($120M),120,1,Inferred,#,Sustainability + frontier energy
89,BlackRock,Larry Fink,$11.5T AUM,Estimate,public market cap / financials — verify against exchange filing,New York,Corporate Strategic,Y,Carbon Direct ($61M),61,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Direct. Meghan Hsu (VP) is a returning SF attendee
